Country,WorkExp,EdLevel,DevType,RemoteWork,Age,OrgSize,LanguageHaveWorkedWith,ConvertedCompYearly
India,4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,"10,000 or more employees",HTML/CSS;JavaScript;TypeScript,20109.0
Hungary,10.0,"Associate degree (A.A., A.S., etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",18-24 years old,Less than 20 employees,Bash/Shell (all shells);Delphi;HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust;SQL;TypeScript;VBA,43375.0
United States of America,2.0,Some college/university study without earning a degree,"Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,500 to 999 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,87000.0
Norway,1.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",AI/ML engineer,"Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,"5,000 to 9,999 employees",Bash/Shell (all shells);Go;Java;JavaScript;Python;SQL,66017.0
France,3.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, embedded applications or devices",In-person,18-24 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);C;C++;Rust,27844.0
United States of America,20.0,Some college/university study without earning a degree,DevOps engineer or professional,Remote,35-44 years old,20 to 99 employees,Bash/Shell (all shells);Python;SQL,185000.0
Germany,8.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, desktop or enterprise applications","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,"10,000 or more employees",C#;F#;PowerShell;Rust;SQL;Zig,83531.0
Switzerland,7.0,Some college/university study without earning a degree,"Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,114981.0
United States of America,36.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",55-64 years old,100 to 499 employees,C#;HTML/CSS;SQL;VBA;Visual Basic (.Net),150000.0
United States of America,15.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",Remote,35-44 years old,100 to 499 employees,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,200000.0
France,30.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Remote,45-54 years old,500 to 999 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,69609.0
Italy,2.0,Some college/university study without earning a degree,"Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,20 to 99 employees,C#;C++;HTML/CSS;JavaScript;Python;SQL,31324.0
Brazil,32.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Project manager,"Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,"10,000 or more employees",Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA,91018.0
Germany,6.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",Remote,25-34 years old,20 to 99 employees,Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;PowerShell;TypeScript,75410.0
Peru,16.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Senior executive (C-suite, VP, etc.)",Remote,35-44 years old,100 to 499 employees,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL,156000.0
Sri Lanka,8.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",25-34 years old,20 to 99 employees,C#;Erlang;Java;PowerShell;Python;SQL;TypeScript,19983.0
United States of America,15.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,35-44 years old,100 to 499 employees,C#;HTML/CSS;Rust;TypeScript,165000.0
Germany,15.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Senior executive (C-suite, VP, etc.)","Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,20 to 99 employees,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,104413.0
Portugal,10.0,Some college/university study without earning a degree,"Developer, full-stack",Remote,35-44 years old,20 to 99 employees,Bash/Shell (all shells);C;C#;C++;Elixir;Erlang;F#;HTML/CSS;JavaScript;Lua;MicroPython;PowerShell;Python;Rust;TypeScript;Zig,44086.0
United Kingdom of Great Britain and Northern Ireland,11.0,Some college/university study without earning a degree,"Developer, back-end",Remote,35-44 years old,20 to 99 employees,Bash/Shell (all shells);JavaScript;Lisp,120485.0
United Kingdom of Great Britain and Northern Ireland,12.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,"5,000 to 9,999 employees",Python;R,68071.0
Norway,6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,25-34 years old,20 to 99 employees,C#;Elixir;F#;Java;TypeScript,98842.0
Italy,39.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",55-64 years old,100 to 499 employees,HTML/CSS;Java;SQL,46406.0
Germany,11.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, embedded applications or devices","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,"10,000 or more employees",Bash/Shell (all shells);C;C++;Java;JavaScript;PowerShell;Python;TypeScript,116015.0
Belgium,21.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Senior executive (C-suite, VP, etc.)",Remote,35-44 years old,"1,000 to 4,999 employees",HTML/CSS;JavaScript;SQL;TypeScript,148499.0
Croatia,3.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,Remote,18-24 years old,500 to 999 employees,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;TypeScript,5801.0
Greece,3.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,"10,000 or more employees",Dart;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,17402.0
Germany,50.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","Hybrid (some in-person, leans heavy to flexibility)",65 years or older,"Just me - I am a freelancer, sole proprietor, etc.",Bash/Shell (all shells);Delphi;MATLAB;PHP;SQL;VBA,41765.0
Canada,3.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",18-24 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;SQL,72958.0
Sweden,26.0,Primary/elementary school,"Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",45-54 years old,Less than 20 employees,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Perl;Python;SQL,11530.0
"Iran, Islamic Republic of...",2.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Applied scientist,In-person,25-34 years old,100 to 499 employees,MATLAB,6000.0
Canada,30.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Engineering manager,Remote,45-54 years old,"5,000 to 9,999 employees",HTML/CSS;JavaScript;TypeScript,94846.0
United Kingdom of Great Britain and Northern Ireland,25.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,Less than 20 employees,C#;HTML/CSS;JavaScript;SQL,49011.0
Germany,12.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",In-person,35-44 years old,Less than 20 employees,C#,58007.0
Netherlands,2.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Other (please specify):,"Your choice (very flexible, you can come in when you want or just as needed)",18-24 years old,"1,000 to 4,999 employees",Assembly;Bash/Shell (all shells);C++;HTML/CSS;JavaScript;MicroPython;OCaml;Python;Rust;SQL,8121.0
Canada,20.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,Less than 20 employees,C#,102142.0
United Kingdom of Great Britain and Northern Ireland,18.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Project manager,"Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,"10,000 or more employees",Prolog;Python;SQL,74878.0
France,25.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Architect, software or solutions","Your choice (very flexible, you can come in when you want or just as needed)",45-54 years old,"10,000 or more employees",Bash/Shell (all shells);Go;HTML/CSS;Java;SQL,87011.0
United Kingdom of Great Britain and Northern Ireland,20.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,35-44 years old,100 to 499 employees,C#;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,129334.0
Portugal,20.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,20 to 99 employees,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;SQL,63808.0
United States of America,25.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,45-54 years old,500 to 999 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,190000.0
China,10.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack",Remote,25-34 years old,"Just me - I am a freelancer, sole proprietor, etc.",Bash/Shell (all shells);C;HTML/CSS;JavaScript;PHP;Python;SQL,8357.0
Spain,4.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Cloud infrastructure engineer,"Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,Less than 20 employees,Go;JavaScript;Python;SQL;TypeScript,34804.0
